,,,,,,,,,,,,,,,,,,,,
자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
문화동사무소,유인대여소,충청북도 충주시 사직산6길46,충청북도 충주시 문화동 1523,36.9717908,127.9255592,09:00,18:00,주말 및 공휴일,무료,무료,4,1,N,,N,043-850-2482,문화동사무소,2020-06-30,4390000,충청북도 충주시
호암직동사무소,유인대여소,충청북도 충주시 호암중앙1로 35,충청북도 충주시 호암동 133-2,36.955871,127.938684,09:00,18:00,주말 및 공휴일,무료,무료,4,1,N,,N,043-850-2492,호암직동사무소,2020-06-30,4390000,충청북도 충주시
달천동사무소,유인대여소,충청북도 충주시 충원대로 211,충청북도 충주시 단월동 408-5,36.947634,127.898837,09:00,18:00,주말 및 공휴일,무료,무료,1,1,N,,N,043-850-2703,달천동사무소,2020-06-30,4390000,충청북도 충주시
봉방동사무소,유인대여소,충청북도 충주시 봉방2길 27,충청북도 충주시 봉방동 203-1,36.973662,127.919316,09:00,18:00,주말 및 공휴일,무료,무료,4,1,N,,N,043-850-2714,봉방동사무소,2020-06-30,4390000,충청북도 충주시
칠금금릉동사무소,유인대여소,충청북도 충주시 칠금중앙로 37,충청북도 충주시 칠금동 874,36.981828,127.919066,09:00,18:00,주말 및 공휴일,무료,무료,4,1,N,,N,043-850-2724,칠금금릉동사무소,2020-06-30,4390000,충청북도 충주시
연수동사무소,유인대여소,충청북도 충주시 예성로 344,충청북도 충주시 연수동 529-1,36.986594,127.933429,09:00,18:00,주말 및 공휴일,무료,무료,4,1,N,,N,043-850-2732,연수동사무소,2020-06-30,4390000,충청북도 충주시
목행용탄동사무소,유인대여소,충청북도 충주시 행정5길 21,충청북도 충주시 목행동 671-1,37.011583,127.916497,09:00,18:00,주말 및 공휴일,무료,무료,4,1,N,,N,043-850-2745,목행용탄동사무소,2020-06-30,4390000,충청북도 충주시
덕진공원대여소,유인대여소,전라북도 전주시 덕진구 권삼득로 390,전라북도 전주시 덕진구 덕진동1가 1316-2,35.849668,127.125323,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",42,,Y,기계식,N,063-281-2568,전라북도 전주시청,2020-08-31,4640000,전라북도 전주시
덕진하천대여소,유인대여소,전라북도 전주시 덕진구 전주천동로455,전라북도 전주시 덕진구 진북동 774-8,35.833609,127.126453,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",32,,Y,기계식,N,063-281-2568,전라북도 전주시청,2020-08-31,4640000,전라북도 전주시
자연생태관 대여소,유인대여소,전라북도 전주시 완산구 바람쐬는길21,전라북도 전주시 완산구 교동951-1,35.810861,127.146148,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",35,,Y,기계식,N,063-281-2568,전라북도 전주시청,2020-08-31,4640000,전라북도 전주시
치명자산대여소,유인대여소,전라북도 전주시 완산구 바람쐬는길92,전라북도 전주시 완산구 대성동 320-2,35.8040614,127.1664673,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",44,1,Y,기계식,Y,063-281-2568,전주시,2020-08-31,4640000,전라북도 전주시
오목대대여소,유인대여소,,전라북도 전주시 완산구 풍남동3가7-9,35.816582,127.1553679,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",32,1,Y,기계식,N,063-281-2568,전주시,2020-08-31,4640000,전라북도 전주시
향교대여소,유인대여소,,전라북도 전주시 완산구 교동21-2,35.8115325,127.1573297,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",29,1,Y,기계식,N,063-281-2568,전주시,2020-08-31,4640000,전라북도 전주시
삼천대여소,유인대여소,,전라북도 전주시 완산구 삼천동1가314-2,35.7907722,127.112895,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",50,,Y,기계식,N,063-281-2569,전주시,2020-08-31,4640000,전라북도 전주시
송천대여소,유인대여소,,전라북도 전주시 덕진구 송천동1가318-12,35.855962,127.116595,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",49,,Y,기계식,N,063-281-2570,전주시,2020-08-31,4640000,전라북도 전주시
광교산공영자전거대여소(반딧불이쉼터),유인대여소,,경기도 수원시 장안구 하광교동 산57-2,37.30183466,127.0323457,09:00,18:00,동절기,유료,1일 1천원,90,,Y,수동식,N,031-228-3434,경기도 수원시청,2020-10-01,3740000,경기도 수원시
광교산공영자전거대여소(버스종점),유인대여소,,경기도 수원시 장안구 상광교동 42-1,37.33452371,127.0173956,09:00,18:00,동절기,유료,1일 1천원,75,,Y,수동식,N,031-228-3434,경기도 수원시청,2020-10-01,3740000,경기도 수원시
시민자전거대여소(화성행궁),유인대여소,,경기도 수원시 팔달구 팔달로1가 138-5,37.28154621,127.0161324,09:00,18:00,동절기,유료,1일 1천원,53,,Y,수동식,N,031-228-3434,경기도 수원시청,2020-10-01,3740000,경기도 수원시
봉화열목어마을,유인대여소,경상북도 봉화군 석포면 청옥로 1893,경상북도 봉화군 석포면 대현리 90-5,37.059753,129.0041418504,09:00,18:00,명절연휴 휴무,유료,1인 1시간 5천원+2인 1시간 8천원,40,0,Y,수동식,N,054-674-0204,경상북도 봉화군청,2020-10-08,5240000,경상북도 봉화군
분천산타마을 자전거셰어링,유인대여소,경상북도 봉화군 소천면 분천3길 2,경상북도 봉화군 소천면 분천리 935-155,36.9323536002,129.0591757551,13:00,18:00,매주 월화,유료,5000원,30,0,Y,수동식,N,054-673-6353,경상북도 봉화군청,2020-10-08,5240000,경상북도 봉화군
중구자전거문화센터,유인대여소,울산광역시 중구 외솔큰길 196,,35.567156,129.351424,09:00,18:00,연중무휴,유료,,118,,Y,,N,052-290-3820,울산광역시 중구청,2020-09-28,3690000,울산광역시 중구
태화강대공원 대여소,유인대여소,울산광역시 중구 신기길77,,35.5497252,129.2958426,09:00,18:00,연중무휴,유료,,244,,Y,,N,052-290-3820,울산광역시 중구청,2020-09-28,3690000,울산광역시 중구
을숙도 자전거 무료대여소,유인대여소,부산광역시 사하구 낙동남로 1233번길 25(하단동),부산광역시 사하구 하단동 1151-14,35.1094769,128.9448753,09:30,16:00,"월요일,명절,우천시",무료,무료,261,261,Y,기계식,N,051-220-4838,을숙도행정지원센터,2020-09-28,3340000,부산광역시 사하구
거금휴게소,유인대여소,전라남도 고흥군 금산면 거금로 720,전라남도 고흥군 금산면 신촌리 436-1,34.488628,127.121665,09:00,17:00,"화요일, 금요일",유료,"3,000",30,0,Y,수동식,N,061-830-5433,건설과,2020-09-29,4880000,전라남도 고흥군
양동주민센터앞,유인대여소,광주광역시 서구 천변좌로222번길 3-2,광주광역시 서구 양동 307-36,35.1548234,126.900969,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,5,10,Y,,N,062-350-4203,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
양3동주민센터앞,유인대여소,광주광역시 서구 상무대로1223번길 16,광주광역시 서구 양동 408-4,35.157391,126.894155,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,3,10,Y,,N,062-350-4222,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
서구청앞,유인대여소,광주광역시 서구 경열로 33,광주광역시 서구 농성동 299,35.1529017,126.8906068,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,34,54,Y,,N,062-360-7894,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
농성1동주민센터앞,유인대여소,광주광역시 서구 상무대로1189번길 23,광주광역시 서구 농성동 329-1,35.1566513,126.889653,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,2,10,Y,,N,062-350-4242,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
농성2동주민센터앞,유인대여소,광주광역시 서구 화정로 314,광주광역시 서구 농성동 630-11,35.150327,126.8902463,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,3,5,Y,,N,062-350-4262,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
광천동주민센터앞,유인대여소,광주광역시 서구 광천2길 9,광주광역시 서구 광천동 206-14,35.1644001,126.8802556,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,3,7,Y,,N,062-350-4293,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
유덕동주민센터앞,유인대여소,광주광역시 서구 유덕로 24,광주광역시 서구 유촌동 497-1,35.1651326,126.8518138,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,3,7,Y,,N,062-350-4302,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
치평동주민센터앞,유인대여소,광주광역시 서구 상무공원로 62,광주광역시 서구 치평동 1171-11,35.149964,126.8433332,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,9,15,Y,,N,062-350-4322,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
상무1동주민센터앞,유인대여소,광주광역시 서구 월드컵4강로197번길 20,광주광역시 서구 쌍촌동 333-7,35.1537511,126.867425,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,3,10,Y,,N,062-350-4342,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
상무2동주민센터앞,유인대여소,광주광역시 서구 화정로85번길 17,광주광역시 서구 쌍촌동 1227-6,35.1465687,126.866449,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,2,0,Y,,N,062-350-4362,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
화정1동주민센터앞,유인대여소,광주광역시 서구 내방로338번길 11,광주광역시 서구 화정동 71-81,35.156352,126.877797,09:00,18:00,매주 토/일요일 및 공휴일,무료,무료,2,0,Y,,N,062-350-4382,광주광역시 서구,2020-09-25,3600000,광주광역시 서구
