소재지,노선명,도로 유형,합계 길이
인천광역시 남동구,독곡로,겸용도로(분리형),0.8
인천광역시 남동구,구월로 1R,겸용도로(분리형),0.52
인천광역시 남동구,구월로 1L,겸용도로(분리형),0.7
인천광역시 남동구,남동대로 1R,겸용도로(분리형),0.32
인천광역시 남동구,남동대로 2R,겸용도로(분리형),1.8
인천광역시 남동구,남동대로 3R,겸용도로(분리형),0.2
인천광역시 남동구,남동대로 4R,겸용도로(비분리형),0.3
인천광역시 남동구,남동대로 5R,겸용도로(비분리형),2.2
인천광역시 남동구,남동대로 6R,겸용도로(분리형),1
인천광역시 남동구,남동대로 7R,겸용도로(분리형),0.7
인천광역시 남동구,남동대로 8R,겸용도로(분리형),0.76
인천광역시 남동구,남동대로 1L,겸용도로(분리형),0.8
인천광역시 남동구,남동대로 2L,겸용도로(분리형),0.7
인천광역시 남동구,남동대로 3L,겸용도로(분리형),0.5
인천광역시 남동구,남동대로 4L,겸용도로(분리형),0.5
인천광역시 남동구,남동대로 5L,겸용도로(분리형),0.26
인천광역시 남동구,남동대로 6L,겸용도로(비분리형),0.3
인천광역시 남동구,남동대로 7L,겸용도로(비분리형),1.9
인천광역시 남동구,남동대로 8L,겸용도로(분리형),2
인천광역시 남동구,서창남로 1R,겸용도로(분리형),1.2
인천광역시 남동구,서창남로 1L,겸용도로(분리형),1.2
인천광역시 남동구,서창방산로 1R,겸용도로(분리형),1.56
인천광역시 남동구,서창방산로 1L,겸용도로(분리형),1.56
인천광역시 남동구,서창남순환로215번길 1R,겸용도로(분리형),0.36
인천광역시 남동구,서창남순환로215번길 1L,겸용도로(분리형),0.36
인천광역시 남동구,서창남순환로216번길 1R,겸용도로(분리형),0.26
인천광역시 남동구,서창남순환로216번길 1L,겸용도로(분리형),0.26
인천광역시 남동구,서창남순환로 1R,겸용도로(분리형),0.26
인천광역시 남동구,서창남순환로 1L,겸용도로(분리형),0.26
인천광역시 남동구,서창남순환로 2R,겸용도로(분리형),0.9
인천광역시 남동구,서창남순환로 2L,겸용도로(분리형),0.9
인천광역시 남동구,서창남순환로 3R,겸용도로(분리형),0.13
인천광역시 남동구,서창남순환로 3L,겸용도로(분리형),0.13
인천광역시 남동구,서창남순환로 4R,겸용도로(분리형),0.39
인천광역시 남동구,서창남순환로160번길 1L,겸용도로(비분리형),0.11
